"","track","key","key_duration","chord","chord_duration","tempo"
"21","guster2006-07-11d2t02","A minor, Bb major, C major, C minor, E minor, F major","64.644353742, 0.743038549000005, 110.712743764, 20.062040816, 0, 16.346848072","A, A/B, Am, Am7, Bm6, C, C/E, C6, Cmaj7, D6, Dm6, E, Em, Em7, F, F#7, F6, Fmaj7, G, G6, G7/B","2.275555556, 1.30031746099999, 19.040362812, 14.860770973, 1.34675736899999, 40.309841272, 1.068117914, 16.253968255, 11.099138322, 0.371519273999994, 2.229115646, 11.563537414, 13.978412699, 6.03718820799999, 31.672018141, 0.789478457999991, 1.439637189, 10.634739228, 21.037278911, 4.73687074799999, 2.22911564700001",127.508826666667
"22","guster2006-07-14d1t01","A minor, Bb major, Bb minor, C major, C minor, E minor, G major","54.984852608, 16.346848073, 0.743038548, 141.920362811, 11.145578231, 2.229115646, 7.430385488","Am, Am7, C, C#7/E#, C6, Cmaj7, Em, Em7, F, F6, Fmaj7, G, G6","22.941315194, 2.13623582699998, 44.721632652, 0.882358277000002, 15.510929706, 28.467664401, 12.863854875, 19.411882084, 16.718367345, 2.87927437700001, 18.575963719, 22.894875284, 1.11455782300001",129.287035714286
"23","guster2006-07-17.akg1000.d02t02","A minor, C major, C minor","23.777233559, 162.725442177, 6.687346939","A, Am, Am7, B6, C, C/E, C/G, C6, Cmaj7, E/B, Eaug, Em, Em7, F, Fmaj7, G, G6, G7","5.06195011400001, 11.052698414, 13.003174606, 5.24770975000001, 53.3594557829999, 1.99691610000001, 0.417959183000001, 13.096054421, 10.774058957, 1.34675736899999, 0.928798186000009, 12.678095236, 5.20126984100003, 35.387210885, 7.70902494300005, 22.616235827, 2.554195011, 2.136235828",125.8774
"24","guster2006-08-09t03","A major, Ab major, Bb major, C major, C minor, E minor, Eb / D# minor, F major, F minor, G major","0, 18.57596372, 0.743038547999987, 170.155827663, 8.916462586, 7.43038548800001, 5.94430839, 13.374693878, 1.48607709699999, 2.22911564499999","A/B, Am, Am7, B, Bdim7, C, C/E, C#/B, C#dim7/B, C6, Cmaj7, E/B, Em, F, F#m, F6, Fmaj7, G, G7/B, Gmaj7","1.62539682600001, 11.88861678, 18.343764173, 0.835918367000005, 10.959818594, 47.554467119, 1.02167800399999, 0.325079365000022, 2.32199546499999, 15.836009072, 14.860770974, 1.43963718799998, 19.551201814, 42.028117912, 1.532517007, 1.99691609999999, 2.41487528299999, 16.950566894, 7.56970521600002, 7.61614512599999",135.0374
"25","guster2006-08-11d1t01","A major, A minor, B major, Bb minor, C major, C minor, C# minor, D major, D minor, E major, E minor, G major","7.430385487, 26.006349207, 5.94430839000001, 2.97215419499997, 152.322902495, 45.325351474, 2.972154195, 35.66585034, 4.458231293, 2.229115645, 5.94430839, 2.22911564600003","A, A7, Am, Am7, Bm, C, C/E, C#m7, C6, Cm, D6, Dmaj7, E, E6, E7, Em, Em6, Em7, Emaj7, F, F6, Fmaj7, G, Gmaj7","4.59755102100003, 1.764716553, 11.795736962, 19.4583219970001, 0.696598639000001, 64.4585941050001, 3.20435374200002, 1.02167800500001, 14.814331065, 3.52943310599994, 0.464399092999997, 5.015510204, 1.811156463, 1.532517007, 17.043446712, 4.040272109, 6.54802721, 33.4367346919999, 3.436553289, 30.2788208619999, 3.94739228899999, 5.52634920700001, 25.356190474, 5.712108845",131.828510204082
"26","guster2006-08-12d1t02","A minor, B major, C major, C minor, E minor, F major, F minor, F# / Gb major, G major","57.957006803, 2.972154195, 84.706394558, 35.665850339, 0, 20.062040817, 17.83292517, 2.972154195, 8.916462585","Adim7/G, Am, Am7, Bbdim7/Ab, C, C/E, C6, Cmaj7, E, Em, Em7, F, F#maj7, F7, Fmaj7, G, G6, Gaug, Gm6, Gmaj7","2.78639455699999, 17.925804988, 14.582131518, 1.43963718900002, 78.251247166, 2.27555555500001, 6.50158730100001, 6.501587301, 4.41179138299998, 12.63165533, 8.49850340399999, 10.170340136, 1.532517007, 1.81115646199999, 21.223038549, 25.309750566, 0.789478458000005, 2.136235828, 1.532517007, 2.97215419499999",126.84547826087
"27","guster2006-08-19d1t03","A minor, C major, C minor, G major","13.374693877, 106.254512472, 23.03419501, 43.839274377","A, Am, Am6, Am7, Bm, C, C/E, C6, Cmaj7, D6, Em, Em7, F, F/C, F6, F7, Fmaj7, G","1.811156462, 6.64090702999999, 2.089795919, 24.102312925, 0.278639456000008, 35.433650793, 1.9969161, 11.656417234, 27.074467118, 0.325079364999993, 14.628571428, 4.78331065699999, 33.5296145140001, 1.764716553, 1.48607709800001, 1.764716553, 1.904036281, 25.82058957",122.001333333333
"28","guster2006-09-15t02","A minor, Ab major, C major, C minor, C# minor, F# minor, G major, G minor, G# minor","38.638004535, 5.20126984199999, 107.74058957, 41.610158729, 11.145578231, 11.145578231, 14.117732426, 0.743038549000005, 2.229115646","A, A7, Am, Am7, Amaj7, B6, B7/D#, Baug, Bm6, C, C/E, C6, Cm, D6, Dm7, Em, Em7, Emaj7, F, F/G, Fmaj7, G","7.33750566900001, 1.71827664400001, 17.554285714, 11.981496598, 7.894784581, 11.656417234, 0.743038547999987, 5.340589569, 4.179591837, 67.012789119, 1.9969161, 10.959818596, 1.39319727899999, 3.29723356, 0.510839001999997, 6.13006802899997, 11.052698413, 1.904036281, 15.743129249, 1.48607709700001, 17.414965985, 25.913469386",133.7065
"29","guster2006-09-28t02","A minor, Bb major, C major, C minor, E minor, G minor","10.402539682, 13.374693877, 155.295056689, 26.749387755, 18.575963719, 5.20126984199999","A, Abm6, Am, Am7, Bbdim7, Bdim7, Bmaj7, C, C/G, Cmaj7, Dm7, Em, Em7, F, F/G, F6, Fmaj7, G, G7/B, Gm6, Gmaj7","1.48607709700001, 5.34058956899997, 14.164172335, 7.94122448899998, 2.64707483000001, 3.01859410400002, 10.681179139, 40.91356009, 0.464399092999997, 30.418140589, 1.671836735, 27.07446712, 9.28798186, 17.461405895, 3.715192743, 3.80807256200001, 18.901043085, 24.195192746, 3.39011337899998, 0.510839003000001, 2.83283446700003",123.097274193548
"30","guster2006-11-15t01","(unknown), A minor, Ab major, C major, C minor, E minor, F minor, F# / Gb major, G major","11.145578231, 74.303854875, 5.94430839, 107.740589569, 15.603809524, 7.43038548799999, 1.486077098, 0.743038549, 3.715192743","Am, Am7, C, C/E, C6, Cmaj7, Ddim7/C, Dm6, E, Em, F, F/C, F/G, Fmaj7, G, G7","24.891791383, 1.62539682599999, 50.75882086, 3.715192743, 14.489251699, 15.092970519, 2.22911564699999, 0.928798186, 3.52943310599997, 18.018684809, 16.671927441, 3.52943310700001, 3.06503401300002, 20.990839003, 19.87628118, 2.08979591800001",129.1772
